timestamp,open,high,low,close,volume
2025-08-11T00:00:00+05:30,89.2,89.95,88.47,89.32,3493527
2025-08-12T00:00:00+05:30,89.1,89.43,87.57,88.26,5637915
2025-08-13T00:00:00+05:30,88.38,89.32,87.92,88.65,13947975
2025-08-14T00:00:00+05:30,88.74,90.9,88.74,90.77,7283392
2025-08-18T00:00:00+05:30,91.02,91.42,89.5,90.2,5097534
2025-08-19T00:00:00+05:30,91.29,91.29,90.07,90.44,5846344
2025-08-20T00:00:00+05:30,90.4,91.69,89.98,91.01,6498605
2025-08-21T00:00:00+05:30,91.1,91.31,88.85,88.96,5796455
2025-08-22T00:00:00+05:30,90.0,90.11,89.13,89.55,7729819
2025-08-25T00:00:00+05:30,89.55,90.24,88.65,88.84,7007338
2025-08-26T00:00:00+05:30,88.2,89.1,87.3,88.7,9583336
2025-08-28T00:00:00+05:30,88.49,88.6,86.2,86.43,10380000
2025-08-29T00:00:00+05:30,86.0,87.33,85.7,86.07,10303831
2025-09-01T00:00:00+05:30,86.14,87.42,86.07,87.03,9371787
2025-09-02T00:00:00+05:30,87.39,88.06,86.81,87.04,4217959
2025-09-03T00:00:00+05:30,86.99,87.5,86.68,87.37,3802856
2025-09-04T00:00:00+05:30,87.4,88.75,86.45,86.55,4469534
2025-09-05T00:00:00+05:30,86.1,87.12,84.93,85.95,6483794
2025-09-08T00:00:00+05:30,86.14,86.85,85.81,86.28,5384432
2025-09-09T00:00:00+05:30,86.36,88.55,86.35,86.82,14512873
2025-09-10T00:00:00+05:30,87.32,87.68,86.89,87.13,5854988
2025-09-11T00:00:00+05:30,87.49,88.63,86.86,87.25,97395891
2025-09-12T00:00:00+05:30,88.4,89.07,87.21,88.13,81124952
2025-09-15T00:00:00+05:30,88.41,89.79,87.99,89.17,15155024
2025-09-16T00:00:00+05:30,89.49,93.41,89.26,92.84,32438451
2025-09-17T00:00:00+05:30,93.0,93.49,91.53,91.88,9066947
2025-09-18T00:00:00+05:30,92.09,92.49,91.0,91.77,4742266
2025-09-19T00:00:00+05:30,91.76,93.78,91.75,92.53,18989198
2025-09-22T00:00:00+05:30,92.53,92.84,90.72,91.17,4486135
2025-09-23T00:00:00+05:30,90.84,91.39,89.93,90.53,5911961
2025-09-24T00:00:00+05:30,90.49,90.85,88.9,89.05,4269311
2025-09-25T00:00:00+05:30,89.49,90.24,88.92,89.12,7859387
2025-09-26T00:00:00+05:30,88.7,89.29,86.94,87.28,7715812
2025-09-29T00:00:00+05:30,87.22,87.65,86.02,86.9,8378717
2025-09-30T00:00:00+05:30,86.92,87.95,86.08,87.2,13143816
2025-10-01T00:00:00+05:30,87.2,89.95,87.2,89.34,5199508
2025-10-03T00:00:00+05:30,89.4,90.27,89.05,89.28,6940845
2025-10-06T00:00:00+05:30,89.18,89.47,87.5,88.7,7601497
2025-10-07T00:00:00+05:30,88.77,89.15,88.21,88.39,3176718
2025-10-08T00:00:00+05:30,88.38,88.45,86.95,87.59,6861831
2025-10-09T00:00:00+05:30,87.15,91.1,87.07,90.71,12062943
2025-10-10T00:00:00+05:30,90.71,91.16,89.85,90.35,4874972
2025-10-13T00:00:00+05:30,89.9,90.49,88.58,89.85,4918636
2025-10-14T00:00:00+05:30,90.5,90.88,88.3,88.84,3991563
2025-10-15T00:00:00+05:30,89.1,90.54,88.5,90.16,4646050
2025-10-16T00:00:00+05:30,89.96,91.15,89.79,90.87,6688742
2025-10-17T00:00:00+05:30,90.81,90.82,89.6,90.15,5675574
2025-10-20T00:00:00+05:30,90.1,92.14,89.97,91.96,8623578
2025-10-21T00:00:00+05:30,92.5,92.58,91.6,92.01,1659032
2025-10-23T00:00:00+05:30,91.3,93.35,91.3,92.31,22751127
2025-10-24T00:00:00+05:30,92.35,94.68,92.19,93.2,27201354
2025-10-27T00:00:00+05:30,94.0,94.0,91.87,92.34,9440624
2025-10-28T00:00:00+05:30,92.34,93.59,92.18,92.69,11137106
2025-10-29T00:00:00+05:30,92.65,93.58,91.73,92.97,15092548
2025-10-30T00:00:00+05:30,93.21,95.5,93.2,94.47,26516655
2025-10-31T00:00:00+05:30,95.2,95.94,93.7,93.97,12371529
2025-11-03T00:00:00+05:30,93.97,94.1,93.03,93.5,3907119
2025-11-04T00:00:00+05:30,94.01,96.22,94.0,95.16,16023424
2025-11-06T00:00:00+05:30,94.1,96.43,94.1,94.45,11103563
2025-11-07T00:00:00+05:30,94.3,96.3,94.0,95.66,17206733
2025-11-10T00:00:00+05:30,95.11,96.72,95.11,95.65,10726731
2025-11-11T00:00:00+05:30,95.5,95.8,94.45,95.49,6227895
2025-11-12T00:00:00+05:30,95.99,96.27,94.64,95.5,10526450
2025-11-13T00:00:00+05:30,95.25,96.2,95.09,95.49,10602571
2025-11-14T00:00:00+05:30,97.65,99.19,94.65,95.67,28366853
2025-11-17T00:00:00+05:30,97.46,98.08,96.42,97.68,16152779
2025-11-18T00:00:00+05:30,97.66,104.85,97.5,103.72,103946808
2025-11-19T00:00:00+05:30,104.2,104.7,102.52,102.92,24782245
2025-11-20T00:00:00+05:30,102.92,104.44,102.6,103.27,22471259
2025-11-21T00:00:00+05:30,103.25,105.49,102.55,104.05,36366106
2025-11-24T00:00:00+05:30,104.68,104.7,102.89,103.76,30916627
2025-11-25T00:00:00+05:30,103.49,105.99,103.32,104.21,27430965
2025-11-26T00:00:00+05:30,104.98,107.07,104.61,106.76,27688034
2025-11-27T00:00:00+05:30,107.2,107.21,106.23,106.69,13820784
2025-11-28T00:00:00+05:30,106.2,109.07,106.0,108.35,25821928
2025-12-01T00:00:00+05:30,108.9,109.6,106.83,107.64,40681263
2025-12-02T00:00:00+05:30,107.2,110.36,106.43,106.63,57495746
2025-12-03T00:00:00+05:30,107.39,107.91,104.9,105.35,36117634
2025-12-04T00:00:00+05:30,105.0,105.84,102.84,103.06,23135574
2025-12-05T00:00:00+05:30,102.56,103.97,101.0,103.51,30961152
2025-12-08T00:00:00+05:30,103.51,103.74,97.93,98.71,15105989
2025-12-09T00:00:00+05:30,98.0,100.99,98.0,100.41,22493544
2025-12-10T00:00:00+05:30,100.85,100.85,97.9,98.54,8694060
2025-12-11T00:00:00+05:30,98.54,98.66,96.95,98.16,8604476
2025-12-12T00:00:00+05:30,98.9,104.74,98.23,104.34,71679432
2025-12-15T00:00:00+05:30,103.95,106.9,103.24,104.88,42888244
2025-12-16T00:00:00+05:30,104.9,105.99,102.65,103.52,13369715
2025-12-17T00:00:00+05:30,103.2,104.0,100.4,100.95,11526107
2025-12-18T00:00:00+05:30,100.99,101.05,99.26,100.59,7539349
2025-12-19T00:00:00+05:30,100.64,102.19,100.48,101.53,32492470
2025-12-22T00:00:00+05:30,102.05,103.34,101.6,102.17,9042603
2025-12-23T00:00:00+05:30,102.45,105.27,101.21,104.89,15810413
2025-12-24T00:00:00+05:30,105.22,105.69,102.96,103.08,12397732
2025-12-26T00:00:00+05:30,103.1,104.25,102.12,102.45,7845932
2025-12-29T00:00:00+05:30,102.45,102.9,100.91,101.96,13106422
2025-12-30T00:00:00+05:30,101.86,103.66,101.08,102.86,52546038
2025-12-31T00:00:00+05:30,103.1,105.05,102.6,104.37,13535325
2026-01-01T00:00:00+05:30,104.38,105.78,103.78,105.5,8598840
2026-01-02T00:00:00+05:30,105.7,106.2,105.2,105.77,7760351
